sample_id,region_id,T,F,P,En
hifigan_LA_D_1119156,11,speech,mid,consonant,"This <T>voiced</T> region exhibits harmonic degradation in the <F>mid-frequency band</F> during the <P>consonant ""v""</P>. The visual evidence shows smeared harmonic stacks instead of clean, periodic patterns, which directly translates to a metallic-sounding speech artifact where the natural harmonic structure is disrupted."
hifigan_LA_D_1119156,15,speech,low,consonant,"This <T>voiced</T> region shows harmonic degradation in the <F>low-frequency band</F>. Instead of the sharp transient expected from a <P>consonant</P>, the pattern looks smeared and grainy. This weakens the clean structure of the sound and gives it a slightly metallic quality."
hn-sinc-nsf-hifi_LA_T_3725354,3,speech,high,vowel,"This <T>voiced</T> region in the <F>high-frequency band</F> shows harmonic degradation, where the <P>vowel</P>'s harmonic structure appears smeared rather than cleanly stacked. This gives the vowel a metallic quality and makes it sound less natural than genuine speech."
hn-sinc-nsf-hifi_LA_T_3725354,10,speech,mid,consonant,"In this <T>speech</T> region, the <P>consonant</P> segment within the <F>mid-frequency band</F> exhibits noise flattening, with the spectral fluctuations expected in genuine speech replaced by an unnaturally smooth noise layer. This results in an airless, hollow consonant quality that lacks the organic texture of authentic speech."
hn-sinc-nsf_LA_T_3965355,3,speech,high,vowel,"This <T>voiced</T> region shows formant fading in the <F>high-frequency</F> <P>vowel</P> range, where genuine speech would normally retain clear formant structure. The weakening of formant bands above 3.5 kHz gives the vowel a hollow quality, reducing the natural resonance expected in authentic speech."
hn-sinc-nsf_LA_T_3965355,12,speech,mid,consonant,"This <T>speech</T> region in the <F>mid-frequency band</F> shows harmonic degradation, where the sharp transient burst expected for the <P>""t"" consonant</P> is replaced by a smeared, grainy spread of energy. This artifact gives the consonant a metallic quality."
hifigan_LA_D_1119156,13,non_speech,low,unvoiced,"This <F>low-frequency</F> region shows noise flattening in <P>unvoiced</P> segments, visible as a uniform sheet of noise with little spectral speckle. This smoothing suppresses the natural variability of vocal tract noise, producing an airless quality that reduces the sense of genuineness in the speech."
waveglow_LA_D_2407623,4,speech,high,consonant,"This <T>speech</T> region shows periodic texture, with low-frequency patterns duplicated into the <F>high-frequency band</F> instead of the irregular energy bursts expected in a genuine <P>fricative</P>. This gives the speech a robotic quality."
hn-sinc-nsf-hifi_LA_T_3725354,13,non_speech,low,unvoiced,"This <P>unvoiced</P> region in the <F>low-frequency band</F> shows noise flattening, where the absence of granular spectral speckle creates an unnaturally uniform noise profile. This gives the sibilance a hollow quality and removes the organic background noise expected in natural speech."
hn-sinc-nsf_LA_T_3965355,13,non_speech,low,unvoiced,"This <P>unvoiced</P> region in the <F>low-frequency band</F> shows noise flattening, where the absence of granular spectral speckle creates an unnaturally uniform noise profile. This gives the sibilance a hollow quality and removes the organic background noise expected in natural speech."
waveglow_LA_D_2407623,13,non_speech,low,unvoiced,"This <P>unvoiced</P> region in the <F>low-frequency band</F> shows noise flattening, where the absence of granular spectral speckle creates an unnaturally uniform noise profile. This gives the sibilance a hollow quality and removes the organic background noise expected in natural speech."
waveglow_LA_D_2407623,9,non_speech,mid,unvoiced,"In this <F>mid-frequency</F> <T>non-speech</T> region, noise flattening appears as a uniform noise layer with reduced spectral speckle. The resulting airless quality departs from the textured variability of authentic audio."
